filename,description,theme,visual_quality
predictive_0032.jpg,"The image depicts a futuristic streetscape flanked by sleek glass skyscrapers, with a wide, orderly pathway leading towards a sunset.",Mobility,Ordered
predictive_0033.jpg,The image depicts a futuristic urban environment with an autonomous vehicle navigating through a pedestrian crosswalk marked by illuminated lines.,Mobility,Ordered
predictive_0034.jpg,The image features a futuristic public transportation vehicle with a sleek design that incorporates large glass windows and natural wooden elements.,Mobility,Flowing
predictive_0035.jpg,"The image depicts a futuristic smartphone emitting a holographic array of interactive screens and digital interfaces, suggesting a blend of technology and human interaction.",Data Infrastructure,Flowing
predictive_0036.jpg,The image depicts a vibrant urban landscape at night with digital connectivity symbols indicating a smart city environment.,Data Infrastructure,Flowing
predictive_0037.jpg,"The image features two futuristic, illuminated skyscrapers surrounded by a bustling urban environment at night.",Mobility,Flowing
predictive_0038.jpg,"The image depicts a vibrant, futuristic cityscape filled with innovative architecture, flying vehicles, and dynamic lighting.",Mobility,Flowing
predictive_0039.jpg,"The image depicts a colorful model of a smart city featuring various buildings, traffic lights, and green elements, highlighting a focus on sustainability and community infrastructure.",Ecological Intelligence,Ordered
predictive_0040.jpg,"The image depicts a network of communication towers connected by glowing lines, set against a mountainous landscape, showcasing a blend of technology and nature.",Data Infrastructure,Ordered
predictive_0041.jpg,The image depicts a future smart city with an underground logistics system alongside green spaces and urban transportation.,Mobility,Organic
predictive_0042.jpg,"The image depicts a futuristic city bustling with advanced, flying vehicles and automated cars, showcasing a vibrant and technologically integrated urban landscape.",Mobility,Flowing
predictive_0043.jpg,"The image depicts a modern urban landscape featuring high-rise buildings, green spaces, and a waterfront vista.",Mobility,Ordered
predictive_0044.jpg,"The image depicts a sleek, modern transit system integrated into a lush urban setting, with people walking alongside green pathways.",Mobility,Flowing
predictive_0045.jpg,"A futuristic data center surrounded by a snowy landscape, featuring advanced technology and automated machinery.",Data Infrastructure,Rigid
predictive_0046.jpg,"The image depicts a vibrant urban area with modern architecture, green spaces, and people engaging in various activities, all under a colorful sky at dusk.",Ecological Intelligence,Flowing
predictive_0047.jpg,"The image depicts a vibrant smart city along a waterfront, featuring modern architecture, green spaces, and recreational areas.",Ecological Intelligence,Flowing
predictive_0048.jpg,"The image showcases a sleek, futuristic skyscraper adorned with organic shapes and illuminated pathways, seamlessly integrating green spaces.",Ecological Intelligence,Flowing
predictive_0049.jpg,"The image showcases a multi-level transit station with dedicated lanes for buses and cars, designed for efficient urban mobility.",Mobility,Ordered
predictive_0051.jpg,The image depicts a futuristic agricultural setting featuring robots and drones assisting a farmer in a field of crops while engaging with digital interfaces.,Ecological Intelligence,Flowing
predictive_0052.jpg,"The image depicts a futuristic skyline of a smart city illuminated in shades of blue, showcasing a blend of innovative architecture and technology.",Mobility,Ordered
predictive_0056.jpg,"The image depicts a futuristic urban landscape featuring a central stadium surrounded by modern buildings, lush greenery, and structured roadways.",Mobility,Flowing
predictive_0057.jpg,A hand is depicted holding an abstract representation of interconnected IoT devices symbolizing a smart city's technological ecosystem.,Data Infrastructure,Flowing
predictive_0058.jpg,The image showcases a futuristic smart city with flowing architectural forms and green spaces integrated with modern buildings.,Mobility,Flowing
predictive_0059.jpg,"The image depicts a futuristic cityscape rendered in a blueprint style, showcasing angular, interconnected buildings with an emphasis on transparency and light.",Mobility,Ordered
predictive_0062.jpg,"The image depicts a futuristic cityscape characterized by towering structures with lush greenery, reflective water features, and expansive walkways.",Resilience,Flowing
predictive_0070.jpg,"The image depicts a vibrant, futuristic cityscape filled with towering skyscrapers illuminated by neon lights and busy streets under a starry sky.",Mobility,Flowing
predictive_0071.jpg,The image depicts a futuristic city skyline with a mix of high-rise buildings under a clear blue sky.,Mobility,Ordered
predictive_0072.jpg,"The image showcases a futuristic city illuminated by vibrant blue lights, highlighting a blend of advanced technology and tall skyscrapers connected by intricate circuits.",Data Infrastructure,Ordered
predictive_0083.jpg,"The image depicts a futuristic cityscape characterized by sleek, modern architecture and lush green spaces integrated within the urban environment.",Mobility,Flowing
predictive_0084.jpg,"A girl stands in front of a glowing holographic female figure, surrounded by colorful urban signage in a futuristic city setting.",Data Infrastructure,Flowing
predictive_0085.jpg,The image depicts a futuristic cityscape illuminated by vibrant neon lights and towering skyscrapers amidst a misty atmosphere.,Data Infrastructure,Ordered
predictive_0090.jpg,The image depicts a vibrant and densely populated future cityscape with towering structures and glowing neon signs.,Mobility,Ordered
predictive_0093.jpg,The image depicts a futuristic urban intersection with digital overlays indicating traffic flow and smart vehicle navigation.,Mobility,Ordered
predictive_0094.jpg,A vibrant landscape features a train passing through golden fields with a majestic snow-capped mountain in the background under a bright blue sky.,Mobility,Flowing
predictive_0095.jpg,"A vibrant and dynamic cityscape is illustrated with bold colors and geometric patterns, suggesting movement and energy.",Mobility,Flowing
predictive_0096.jpg,"The image depicts a futuristic urban landscape dominated by towering, sleek skyscrapers and advanced technology, set against a moody, overcast sky.",Mobility,Rigid
predictive_0102.jpg,"A lone figure stands before a towering digital display filled with vibrant, glitching graphics and error messages, set against a dark, moody background.",Data Infrastructure,Rigid
predictive_0103.jpg,The image depicts a stylized skyline of Moscow illuminated with vibrant neon colors against a dark background.,Mobility,Flowing
predictive_0108.jpg,The image depicts a futuristic city skyline expressed through light outlines against a soft blue background.,Mobility,Flowing
predictive_0109.jpg,The image depicts a stylized skyline featuring a prominent skyscraper and a bridge illuminated against a twilight backdrop.,Mobility,Ordered
predictive_0112.jpg,"A stylized silhouette of a cityscape against a gradient pink and orange sky, showcasing iconic skyscrapers.",Governance,Ordered
predictive_0113.jpg,"The image depicts a digital ecosystem featuring cloud computing, servers, and users interacting with technology in a vibrant, interconnected environment.",Data Infrastructure,Ordered
predictive_0117.jpg,"The image depicts a vibrant, pixelated skyline of a futuristic city at sunset, with a blend of buildings and bridges reflecting on the water below.",Mobility,Ordered
predictive_0118.jpg,"The image depicts a vibrant and futuristic urban environment filled with high-rise buildings, dynamic advertisements, and stylish characters engaging in recreational activities.",Mobility,Flowing
predictive_0123.jpg,"A humanoid robot holds a globe surrounded by elements representing nature and technology, symbolizing harmony between innovation and ecology.",Ecological,Flowing
predictive_0124.jpg,"The image depicts a vibrant, neon-lit cityscape featuring a futuristic tram displaying ""2021"" with glowing signage and reflective surfaces.",Mobility,Flowing
predictive_0126.jpg,"The image depicts a close-up of an eye with digital code projected onto it, symbolizing the integration of technology and human perception.",Data Infrastructure,Flowing
predictive_0127.jpg,"The image depicts a modern urban tunnel illuminated by vibrant neon lights, creating an otherworldly atmosphere at night.",Mobility,Flowing
predictive_0128.jpg,The image depicts a skyline of modern skyscrapers showcasing sleek architecture and advanced materials.,Mobility,Ordered
predictive_0134.jpg,The image features a vibrant gradient background with intricate circuitry patterns illuminated by bright blue orbs.,Data Infrastructure,Flowing
predictive_0135.jpg,The image features a futuristic skyline dominated by sleek and reflective skyscrapers with a minimalistic aesthetic.,Resilience,Ordered
predictive_0142.jpg,"The cityscape features towering buildings with neon signage and elevated walkways, set in a moody, rainy atmosphere.",Mobility,Flowing
predictive_0143.jpg,"The image depicts a futuristic smart city featuring sleek architecture, elevated transit systems, and abundant greenery integrated into the design.",Mobility,Organic
predictive_0145.jpg,"The image depicts a futuristic smart city with sleek, tall buildings, interconnected green spaces, and waterways, emphasizing a harmonious blend of nature and technology.",Resilience,Flowing
predictive_0149.jpg,"The image depicts a futuristic shopping environment characterized by flowing architectural lines, vibrant lighting, and a digital sky display.",Mobility,Flowing
predictive_0150.jpg,"The image depicts a futuristic cityscape with advanced architecture, flying vehicles, and a blend of nature and technology around a central dome structure.",Mobility,Flowing
predictive_0153.jpg,"The image showcases a futuristic cityscape featuring towering skyscrapers, advanced transportation systems, and greenery integrated into the urban environment.",Mobility,Flowing
predictive_0159.jpg,"The image depicts a futuristic skyline with a mix of sleek skyscrapers and modern architecture, reflecting innovation and advanced urban design.",Mobility,Flowing
predictive_0160.jpg,"The image showcases a futuristic skyscraper design that features dynamic, twisting forms with a sleek, illuminated facade.",Resilience,Flowing
predictive_0165.jpg,The image depicts a high-tech control room with large windows showcasing a verdant extraterrestrial landscape and multiple digital interfaces displaying data.,Data Infrastructure,Ordered
predictive_0166.jpg,A vibrant cityscape featuring the illuminated Tokyo Tower with Mount Fuji in the background under a dramatic sky.,Mobility,Ordered
predictive_0167.jpg,"The image depicts a futuristic skyline dominated by two tall, sculptural towers with flowing forms integrated into a green urban landscape.",Resilience,Flowing
predictive_0173.jpg,The building features a dynamic and fluid façade with wave-like structures that create a striking visual impression.,Ecological Intelligence,Flowing
predictive_0174.jpg,"The image features a striking contrast between a sleek, modern skyscraper and a traditional church, set in an urban environment with greenery and traffic signals.",Mobility,Ordered
predictive_0179.jpg,"The image depicts a futuristic smart city with illuminated skyscrapers, a central fountain, and a pixelated figure standing atop a building under a large celestial body.",Mobility,Ordered
predictive_0182.jpg,The image depicts an elegant urban plaza with a central fountain and well-designed surroundings featuring modern buildings and greenery.,Governance,Ordered
predictive_0185.jpg,"The image showcases a vibrant urban space with modern architecture, lush greenery, and a central fountain, creating a lively atmosphere for its occupants.",Resilience,Flowing
predictive_0188.jpg,The image showcases a futuristic smart city design featuring curvilinear buildings surrounded by lush greenery and a flowing waterway.,Resilience,Flowing
predictive_0189.jpg,"The image depicts a futuristic landscape where massive archways and lush greenery coexist harmoniously, showcasing intricate buildings and waterways beneath a vibrant sky.",Resilience,Organic
predictive_0195.jpg,"The smart city design showcases an interconnected, flowing structure with vibrant pathways and green spaces that promote interaction with nature.",Mobility,Flowing
predictive_0196.jpg,"The image showcases a futuristic cityscape with iconic modern architecture surrounded by lush greenery and water bodies, illuminated against a sunset backdrop.",Resilience,Flowing
predictive_0197.jpg,The image showcases a modern smart city building design featuring tall residential towers interconnected by a green pedestrian bridge.,Resilience,Flowing
