filename,description,theme,visual_quality
bbc_earth_thumb_0021.jpg,"A lynx with snowy fur and a focused expression is featured prominently in a serene, snowy environment.",Resilience,Organic
bbc_earth_thumb_0022.jpg,"The image showcases a lush, verdant forest filled with diverse vegetation and towering trees draped in moss.",Resilience,Organic
bbc_earth_thumb_0023.jpg,"A brightly colored bird with a striking red and yellow plumage and a blue beak is captured in close-up, showcasing its vibrant features against a blurred natural backdrop.",Ecological Intelligence,Organic
bbc_earth_thumb_0024.jpg,A young fox peeks out from behind foliage in a natural setting.,Ecological Intelligence,Organic
bbc_earth_thumb_0025.jpg,"A vibrant crab navigates through a lush, leaf-strewn forest floor surrounded by natural rocks.",Resilience,Organic
bbc_earth_thumb_0026.jpg,"The underwater image depicts a swirling vortex of water over a colorful seabed populated with various marine life, including starfish.",Resilience,Flowing
bbc_earth_thumb_0027.jpg,"The image showcases a dense forest surrounding a serene body of water, symbolizing a harmonious natural ecosystem.",Resilience,Organic
bbc_earth_thumb_0028.jpg,"A butterfly rests delicately on a rock near water, showcasing intricate patterns on its wings.",Ecological Intelligence,Organic
bbc_earth_thumb_0029.jpg,"A panda sits amidst lush greenery, munching on bamboo.",Resilience,Organic
bbc_earth_thumb_0030.jpg,"The image features a close-up of a squirrel with its cheeks puffed out, likely storing food.",Resilience,Organic
bbc_earth_thumb_0031.jpg,The image depicts a natural landscape filled with tall evergreen trees under a cloudy sky.,Resilience,Organic
bbc_earth_thumb_0032.jpg,"A creature is breaching the surface of a calm body of water at sunset, creating a splash and forming a dynamic silhouette against the warm sky.",Resilience,Flowing
bbc_earth_thumb_0033.jpg,The image features a translucent amphibian moving along the substrate of a dark aquatic environment.,Ecological Intelligence,Organic
bbc_earth_thumb_0034.jpg,"A puffin is nestled among vibrant green foliage and tiny white flowers, showcasing the beauty of its natural habitat.",Resilience,Organic
bbc_earth_thumb_0035.jpg,A close-up of a leopard's face showcasing its striking features and detailed fur patterns against a blurred green background.,Ecological Intelligence,Organic
bbc_earth_thumb_0036.jpg,"A giraffe is eating leaves from a tree, showcasing its unique long neck and patterned coat against a blue sky.",Ecological Intelligence,Organic
bbc_earth_thumb_0037.jpg,"A snow leopard rests on a rocky surface, blending into its natural surroundings with a watchful gaze.",Ecological Intelligence,Organic
bbc_earth_thumb_0038.jpg,"The image features two distinct jellyfish, showcasing their unique shapes and colors in a deep-sea environment.",Resilience,Organic
bbc_earth_thumb_0039.jpg,"The image shows an ant navigating through intertwined roots in a rich, green natural environment.",Resilience,Organic
bbc_earth_thumb_0040.jpg,"The image shows a close-up view of an insect on a branch, highlighting its intricate features and the textures of its environment.",Resilience,Organic
bbc_earth_thumb_0041.jpg,"The image features a close-up view of a textured surface, possibly depicting moss or lichen, showcasing a natural ecosystem.",Resilience,Organic
bbc_earth_thumb_0042.jpg,"The image depicts a close-up of snow with subtle textures and shadows, suggesting a dynamic interaction with the environment.",Resilience,Organic
bbc_earth_thumb_0043.jpg,The image depicts ants actively engaging with a green object amidst a textured environment of organic matter.,Resilience,Organic
bbc_earth_thumb_0044.jpg,The image features a cluster of various mushrooms growing in a lush green environment.,Resilience,Organic
bbc_earth_thumb_0045.jpg,"The image depicts a dynamic satellite view of a powerful hurricane system over the Atlantic Ocean, with swirling clouds and contrasting colors indicating different weather patterns.",Resilience,Flowing
bbc_earth_thumb_0046.jpg,"The image depicts a person speaking in a lush, green forest setting, emphasizing a connection to nature.",Resilience,Organic
bbc_earth_thumb_0047.jpg,"The image shows a global map highlighting various locations, potentially indicating ecological data or hotspots.",Data Infrastructure,Ordered
bbc_earth_thumb_0048.jpg,"The image showcases vibrant, flowing marine life with soft, translucent textures that create a mesmerizing underwater scene.",Resilience,Flowing
bbc_earth_thumb_0049.jpg,"A close-up of a chick with a fluffy, dark plumage, showcasing its small, curious features.",Resilience,Organic
